"draw","n","observed","counterfactual","att","reduction_pct","negative_counterfactual_cells"
362,5125,129225,157543.317525048,-5.52552537074098,17.974940460769,398
363,5038,132801,155679.377006167,-4.5411625657339,14.695830267397,473
364,5019,115764,142302.224475468,-5.28755219674589,18.6491986146307,365
365,5062,122308,78957.4816372517,8.56391117399217,-54.9036233981098,814
366,5014,127337,145534.439404562,-3.62932576875987,12.5038715777618,420
367,5055,145800,148479.586628548,-0.530086375578313,1.80468351871958,298
368,5106,152840,164663.642905156,-2.31563707504037,7.18048179704513,350
369,4998,129163,151072.984575265,-4.38375041521901,14.5029136988745,455
370,5103,143340,110053.817893433,6.52286539419301,-30.2453678970033,487
371,5016,117607,133779.551114526,-3.22419280592621,12.0889560323617,298
372,5094,138149,152958.033974837,-2.90715233114201,9.68176276198318,374
373,4976,137323,168914.618293603,-6.34879788858587,18.7027141953407,435
374,5014,136408,177763.905274975,-8.24808641303856,23.264512112852,291
375,5001,119080,126017.210916023,-1.38716475025458,5.50497100006924,316
376,5021,138067,151725.022804648,-2.72017980574545,9.00182616695543,338
377,4943,120713,150135.960453809,-5.95245002100118,19.5975436963093,454
378,5021,139058,172505.323111394,-6.66148637948495,19.3891542058651,388
379,5128,158614,172850.933757726,-2.77631313528198,8.23653852959855,339
380,4976,110692,143642.552724343,-6.62189564395965,22.9392698050813,488
